pub_date	title	venue	url_slug	paper_url
2024-06-01	Deep Generative Model Based Rate-Distortion for Image Downscaling Assessment	CVPR 2024 (Oral)	cvpr-downscaling	https://openaccess.thecvf.com/content/CVPR2024/papers/Liang_Deep_Generative_Model_based_Rate-Distortion_for_Image_Downscaling_Assessment_CVPR_2024_paper.pdf
2022-07-01	Perceptual CGAN for MRI Super-Resolution	IEEE EMBC 2022	mri-super-resolution	https://arxiv.org/ftp/arxiv/papers/2201/2201.09314.pdf
